,zip_code,week_number,week_start,week_end,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,percent_tested_positive_weekly,percent_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,population,row_id,zip_code_location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative
122,60634,11,2020-03-08T00:00:00.000,2020-03-14T00:00:00.000,2,6,2.6,7.9,0.000,0.000,0,0,0.0,0.0,75995,60634-2020-11,"{'type': 'Point', 'coordinates': [-87.797373, 41.944967]}",52,17,22254,396,19,,,,
123,60608,33,2020-08-09T00:00:00.000,2020-08-15T00:00:00.000,1781,20342,2248.6,25682.7,0.05,0.114,1,77,1.3,97.2,79205,60608-2020-33,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26,80,2229,101,2814.2
124,60608,35,2020-08-23T00:00:00.000,2020-08-29T00:00:00.000,1909,24112,2410.2,30442.5,0.051,0.105,0,77,0,97.2,79205,60608-2020-35,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26,81,2416,102.3,3050.3
125,60607,10,2021-03-07T00:00:00.000,2021-03-13T00:00:00.000,1723,51476,5822.7,173958.3,0.016,0.042,0,8,0,27,29591,60607-2021-10,"{'type': 'Point', 'coordinates': [-87.652727, 41.876104]}",44,29,14917,87,26,23,2329,77.7,7870.6
126,60607,9,2021-02-28T00:00:00.000,2021-03-06T00:00:00.000,1647,49753,5565.9,168135.6,0.014,0.043,0,8,0,27,29591,60607-2021-9,"{'type': 'Point', 'coordinates': [-87.652727, 41.876104]}",44,29,14917,87,26,18,2306,60.8,7792.9
127,60608,3,2021-01-17T00:00:00.000,2021-01-23T00:00:00.000,2162,75016,2729.6,94711.2,0.099,0.108,0,125,0,157.8,79205,60608-2021-3,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26,167,7035,210.8,8882
128,60608,4,2021-01-24T00:00:00.000,2021-01-30T00:00:00.000,2151,77167,2715.7,97426.9,0.077,0.107,2,127,2.5,160.3,79205,60608-2021-4,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26,122,7157,154,9036
129,60608,5,2021-01-31T00:00:00.000,2021-02-06T00:00:00.000,2226,79393,2810.4,100237.4,0.041,0.105,1,128,1.3,161.6,79205,60608-2021-5,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26,74,7231,93.4,9129.5
130,60610,11,2021-03-14T00:00:00.000,2021-03-20T00:00:00.000,1728,59543,4428.6,152600,0.028,0.053,0,32,0,82,39019,60610-2021-11,"{'type': 'Point', 'coordinates': [-87.63581, 41.90455]}",54,37,14926,290,11,50,3052,128.1,7821.8
131,60611,8,2021-02-21T00:00:00.000,2021-02-27T00:00:00.000,982,42636,3028.4,131487.1,0.012,0.05,0,14,0,43.2,32426,60611-2021-8,"{'type': 'Point', 'coordinates': [-87.620291, 41.894734]}",6,37,21182,158,36,12,1963,37,6053.8
132,60611,9,2021-02-28T00:00:00.000,2021-03-06T00:00:00.000,1129,43765,3481.8,134968.9,0.019,0.049,0,14,0,43.2,32426,60611-2021-9,"{'type': 'Point', 'coordinates': [-87.620291, 41.894734]}",6,37,21182,158,36,19,1982,58.6,6112.4
133,60613,11,2021-03-14T00:00:00.000,2021-03-20T00:00:00.000,2158,75000,4306.3,149661.8,0.033,0.048,0,43,0,85.8,50113,60613-2021-11,"{'type': 'Point', 'coordinates': [-87.661343, 41.953742]}",53,57,21186,725,25,60,3380,119.7,6744.8
134,60608,46,2020-11-08T00:00:00.000,2020-11-14T00:00:00.000,3224,49063,4070.5,61944.3,0.184,0.1,1,85,1.3,107.3,79205,60608-2020-46,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26,515,4463,650.2,5634.7
135,60614,11,2021-03-14T00:00:00.000,2021-03-20T00:00:00.000,3415,121020,4789.1,169714.5,0.039,0.042,0,90,0,126.2,71308,60614-2021-11,"{'type': 'Point', 'coordinates': [-87.652064, 41.922605]}",16,68,21190,744,34,124,5082,173.9,7126.8
136,60604,49,2020-11-29T00:00:00.000,2020-12-05T00:00:00.000,41,941,5243,120332.5,0.073,0.087,0,0,0,0,782,60604-2020-49,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",29,38,14912,92,10,1,73,127.9,9335
137,60604,50,2020-12-06T00:00:00.000,2020-12-12T00:00:00.000,57,998,7289,127621.5,0.035,0.084,0,0,0,0,782,60604-2020-50,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",29,38,14912,92,10,2,75,255.8,9590.8
138,60604,51,2020-12-13T00:00:00.000,2020-12-19T00:00:00.000,75,1073,9590.8,137212.3,0.013,0.079,0,0,0,0,782,60604-2020-51,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",29,38,14912,92,10,0,75,0,9590.8
139,60614,4,2021-01-24T00:00:00.000,2021-01-30T00:00:00.000,3308,97646,4639,136935.5,0.026,0.046,0,86,0,120.6,71308,60614-2021-4,"{'type': 'Point', 'coordinates': [-87.652064, 41.922605]}",16,68,21190,744,34,86,4548,120.6,6378
140,60614,5,2021-01-31T00:00:00.000,2021-02-06T00:00:00.000,3187,100833,4469.3,141404.9,0.028,0.046,0,86,0,120.6,71308,60614-2021-5,"{'type': 'Point', 'coordinates': [-87.652064, 41.922605]}",16,68,21190,744,34,80,4628,112.2,6490.2
141,60614,6,2021-02-07T00:00:00.000,2021-02-13T00:00:00.000,3376,104209,4734.4,146139.3,0.024,0.045,1,87,1.4,122,71308,60614-2021-6,"{'type': 'Point', 'coordinates': [-87.652064, 41.922605]}",16,68,21190,744,34,71,4699,99.6,6589.7
142,60614,7,2021-02-14T00:00:00.000,2021-02-20T00:00:00.000,3317,107526,4651.7,150790.9,0.02,0.044,0,87,0,122,71308,60614-2021-7,"{'type': 'Point', 'coordinates': [-87.652064, 41.922605]}",16,68,21190,744,34,62,4761,86.9,6676.7
143,60614,8,2021-02-21T00:00:00.000,2021-02-27T00:00:00.000,3451,110977,4839.6,155630.5,0.019,0.043,2,89,2.8,124.8,71308,60614-2021-8,"{'type': 'Point', 'coordinates': [-87.652064, 41.922605]}",16,68,21190,744,34,60,4821,84.1,6760.8
144,60616,23,2020-05-31T00:00:00.000,2020-06-06T00:00:00.000,375,3828,688.5,7028.5,0.053,0.114,0,32,0,58.8,54464,60616-2020-23,"{'type': 'Point', 'coordinates': [-87.629531, 41.844869]}",40,1,21194,377,9,18,444,33,815.2
145,60616,28,2020-07-05T00:00:00.000,2020-07-11T00:00:00.000,1215,8772,2230.8,16106.1,0.034,0.064,0,34,0,62.4,54464,60616-2020-28,"{'type': 'Point', 'coordinates': [-87.629531, 41.844869]}",40,1,21194,377,9,33,544,60.6,998.8
146,60616,29,2020-07-12T00:00:00.000,2020-07-18T00:00:00.000,723,9495,1327.5,17433.5,0.033,0.062,0,34,0,62.4,54464,60616-2020-29,"{'type': 'Point', 'coordinates': [-87.629531, 41.844869]}",40,1,21194,377,9,24,568,44.1,1042.9
147,60666,11,2021-03-14T00:00:00.000,2021-03-20T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,60666-2021-11,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29,,,,
148,60616,35,2020-08-23T00:00:00.000,2020-08-29T00:00:00.000,1114,14944,2045.4,27438.3,0.031,0.052,0,37,0,67.9,54464,60616-2020-35,"{'type': 'Point', 'coordinates': [-87.629531, 41.844869]}",40,1,21194,377,9,32,731,58.8,1342.2
149,60616,38,2020-09-13T00:00:00.000,2020-09-19T00:00:00.000,1088,18063,1997.6,33165,0.027,0.049,2,40,3.7,73.4,54464,60616-2020-38,"{'type': 'Point', 'coordinates': [-87.629531, 41.844869]}",40,1,21194,377,9,25,816,45.9,1498.2
150,60616,10,2021-03-07T00:00:00.000,2021-03-13T00:00:00.000,1623,64060,2980,117619,0.015,0.059,0,88,0,161.6,54464,60616-2021-10,"{'type': 'Point', 'coordinates': [-87.629531, 41.844869]}",40,1,21194,377,9,23,3336,42.2,6125.1
151,60616,11,2021-03-14T00:00:00.000,2021-03-20T00:00:00.000,1584,65644,2908.3,120527.3,0.022,0.058,0,88,0,161.6,54464,60616-2021-11,"{'type': 'Point', 'coordinates': [-87.629531, 41.844869]}",40,1,21194,377,9,31,3367,56.9,6182.1
152,60616,6,2021-02-07T00:00:00.000,2021-02-13T00:00:00.000,1198,58474,2199.6,107362.7,0.03,0.063,0,86,0,157.9,54464,60616-2021-6,"{'type': 'Point', 'coordinates': [-87.629531, 41.844869]}",40,1,21194,377,9,37,3235,67.9,5939.7
153,60601,9,2021-02-28T00:00:00.000,2021-03-06T00:00:00.000,679,20751,4626.9,141403.7,0.019,0.046,0,11,0,75,14675,60601-2021-9,"{'type': 'Point', 'coordinates': [-87.622844, 41.886262]}",42,38,14309,580,36,11,924,75,6296.4
154,60608,39,2020-09-20T00:00:00.000,2020-09-26T00:00:00.000,1878,31183,2371.1,39370,0.045,0.093,1,80,1.3,101,79205,60608-2020-39,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26,71,2703,89.6,3412.7
155,60608,41,2020-10-04T00:00:00.000,2020-10-10T00:00:00.000,2140,35271,2701.8,44531.3,0.059,0.088,0,80,0,101,79205,60608-2020-41,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26,106,2879,133.8,3634.9
156,60617,11,2021-03-14T00:00:00.000,2021-03-20T00:00:00.000,1490,75197,1805.3,91110.3,0.054,0.11,1,145,1.2,175.7,82534,60617-2021-11,"{'type': 'Point', 'coordinates': [-87.556897, 41.721257]}",25,48,21202,527,47,69,7174,83.6,8692.2
157,60618,42,2020-10-11T00:00:00.000,2020-10-17T00:00:00.000,2604,42464,2758.6,44985.4,0.069,0.069,2,56,2.1,59.3,94395,60618-2020-42,"{'type': 'Point', 'coordinates': [-87.703343, 41.946699]}",39,16,21538,372,20,162,2634,171.6,2790.4
158,60618,43,2020-10-18T00:00:00.000,2020-10-24T00:00:00.000,3054,45518,3235.3,48220.8,0.074,0.069,2,58,2.1,61.4,94395,60618-2020-43,"{'type': 'Point', 'coordinates': [-87.703343, 41.946699]}",39,16,21538,372,20,224,2858,237.3,3027.7
159,60618,44,2020-10-25T00:00:00.000,2020-10-31T00:00:00.000,3204,48722,3394.2,51615,0.105,0.071,2,60,2.1,63.6,94395,60618-2020-44,"{'type': 'Point', 'coordinates': [-87.703343, 41.946699]}",39,16,21538,372,20,328,3186,347.5,3375.2
160,60618,45,2020-11-01T00:00:00.000,2020-11-07T00:00:00.000,3534,52256,3743.8,55358.9,0.127,0.075,3,63,3.2,66.7,94395,60618-2020-45,"{'type': 'Point', 'coordinates': [-87.703343, 41.946699]}",39,16,21538,372,20,408,3594,432.2,3807.4
161,60618,11,2021-03-14T00:00:00.000,2021-03-20T00:00:00.000,2525,108218,2674.9,114643.8,0.035,0.079,0,109,0,115.5,94395,60618-2021-11,"{'type': 'Point', 'coordinates': [-87.703343, 41.946699]}",39,16,21538,372,20,82,7641,86.9,8094.7
162,60618,9,2021-02-28T00:00:00.000,2021-03-06T00:00:00.000,2361,103134,2501.2,109257.9,0.03,0.081,0,109,0,115.5,94395,60618-2021-9,"{'type': 'Point', 'coordinates': [-87.703343, 41.946699]}",39,16,21538,372,20,67,7473,71,7916.7
163,60620,11,2021-03-14T00:00:00.000,2021-03-20T00:00:00.000,1713,66822,2515.6,98129.1,0.032,0.078,1,135,1.5,198.2,68096,60620-2021-11,"{'type': 'Point', 'coordinates': [-87.651656, 41.740873]}",59,70,21554,530,13,44,4709,64.6,6915.2
164,60620,9,2021-02-28T00:00:00.000,2021-03-06T00:00:00.000,1741,63355,2556.7,93037.8,0.023,0.081,0,133,0,195.3,68096,60620-2021-9,"{'type': 'Point', 'coordinates': [-87.651656, 41.740873]}",59,70,21554,530,13,34,4640,49.9,6813.9
165,60640,8,2021-02-21T00:00:00.000,2021-02-27T00:00:00.000,2418,93697,3468.4,134400.1,0.021,0.044,1,146,1.4,209.4,69715,60640-2021-8,"{'type': 'Point', 'coordinates': [-87.662232, 41.971888]}",15,31,22616,633,18,46,4086,66,5861
166,60641,11,2021-03-14T00:00:00.000,2021-03-20T00:00:00.000,1854,90807,2610.4,127855.8,0.039,0.11,0,118,0,166.1,71023,60641-2021-11,"{'type': 'Point', 'coordinates': [-87.746791, 41.946682]}",21,15,22618,139,21,52,8292,73.2,11675.1
167,60641,2,2021-01-10T00:00:00.000,2021-01-16T00:00:00.000,2654,73065,3736.8,102875.1,0.119,0.121,5,103,7,145,71023,60641-2021-2,"{'type': 'Point', 'coordinates': [-87.746791, 41.946682]}",21,15,22618,139,21,259,7415,364.7,10440.3
168,60608,42,2020-10-11T00:00:00.000,2020-10-17T00:00:00.000,2179,37450,2751.1,47282.4,0.067,0.087,1,81,1.3,102.3,79205,60608-2020-42,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26,130,3009,164.1,3799
169,60654,10,2020-03-01T00:00:00.000,2020-03-07T00:00:00.000,2,2,10.5,10.5,0.000,0.000,0,0,0.0,0.0,19135,60654-2020-10,"{'type': 'Point', 'coordinates': [-87.636354, 41.892485]}",55,37,4446,652,36,,,,
