week_number,week_start,week_end,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,percent_tested_positive_weekly,percent_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,population,row_id,zip_code_location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative
18,2020-04-26T00:00:00.000,2020-05-02T00:00:00.000,49,149.0,171.5,521.4,0.102,0.188,0.0,3.0,0.0,10.5,28577,60827-2020-18,"{'type': 'Point', 'coordinates': [-87.633087, 41.650765]}",0,0,4460,0,0,9,44,31.5,154.0
13,2020-03-22T00:00:00.000,2020-03-28T00:00:00.000,119,165.0,425.2,589.6,0.143,0.145,2.0,2.0,7.1,7.1,27987,60646-2020-13,"{'type': 'Point', 'coordinates': [-87.761826, 41.993931]}",18,12,22532,782,38,17,26,60.7,92.9
39,2020-09-20T00:00:00.000,2020-09-26T00:00:00.000,126,2617.0,4063.2,84392.1,0.032,0.068,0.0,1.0,0.0,32.2,3101,60606-2020-39,"{'type': 'Point', 'coordinates': [-87.63676, 41.882634]}",46,38,14914,92,36,2,71,64.5,2289.6
21,2020-05-17T00:00:00.000,2020-05-23T00:00:00.000,585,3551.0,1176.4,7140.6,0.168,0.239,9.0,86.0,18.1,172.9,49730,60626-2020-21,"{'type': 'Point', 'coordinates': [-87.669834, 42.009469]}",9,10,21853,358,5,82,910,164.9,1829.9
28,2020-07-05T00:00:00.000,2020-07-11T00:00:00.000,1336,18045.0,1476.0,19935.5,0.077,0.23,3.0,113.0,3.3,124.8,90517,60639-2020-28,"{'type': 'Point', 'coordinates': [-87.75531, 41.920609]}",2,19,22615,306,44,79,3667,87.3,4051.2
9,2021-02-28T00:00:00.000,2021-03-06T00:00:00.000,621,28800.0,3074.1,142567.2,0.031,0.065,1.0,22.0,5.0,108.9,20201,60642-2021-9,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,17,1743,84.2,8628.3
17,2020-04-19T00:00:00.000,2020-04-25T00:00:00.000,938,1982.0,1880.9,3974.3,0.158,0.235,3.0,23.0,6.0,46.1,49870,60643-2020-17,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,146,490,292.8,982.6
20,2020-05-10T00:00:00.000,2020-05-16T00:00:00.000,483,3329.0,968.5,6675.4,0.089,0.181,2.0,43.0,4.0,86.2,49870,60643-2020-20,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,47,633,94.2,1269.3
21,2020-05-17T00:00:00.000,2020-05-23T00:00:00.000,675,4004.0,1353.5,8028.9,0.056,0.16,5.0,48.0,10.0,96.3,49870,60643-2020-21,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,36,669,72.2,1341.5
22,2020-05-24T00:00:00.000,2020-05-30T00:00:00.000,573,4577.0,1149.0,9177.9,0.058,0.147,7.0,55.0,14.0,110.3,49870,60643-2020-22,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,31,700,62.2,1403.6
